entidade,chave,erro,timestamp_execucao
comentarios,@canaltech:cL1pOwLRmfc,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:0IBWnmL6p5A,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:3WXKxthNhp8,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:5jgRyZq6R0c,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:rDwfTe6W8bw,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:kIwEH2ED7pM,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:ZgYI_K5roQ0,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:ArFsPz-QB1k,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:g5Z4EDy4oys,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:x_64kCPWsnk,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:rPXNScP65cA,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:b1XgJvfPsIQ,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:P9QDxE0jmWs,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:i5MC-iz-aLE,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:f80wEli0f90,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:hxomt6kQseE,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:tWx2fVYAlOc,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:lEEtuCP_RDY,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:rTopHfXP5Ig,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:w2I5xy2lGzw,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:OXJxp_xQkts,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:wxbopvqcl3c,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:JPbOgX-75-4,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:tkyGdohuqrk,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:4mik4ZVmL0g,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:xh7S2uHXGg8,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:aRdl8g3ggug,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:_LGQygzM_nk,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:wS9a5a49nWg,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:mOXPBoKZBnM,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:t5THfMnr7u8,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
comentarios,@canaltech:LXAUFLYxPD0,'YouTubeClient' object has no attribute 'fetch_top_comments_by_video_id',2026-06-16T11:25:37
