video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count,tags,duration
dR2x7GdJW60,A folha encaixa na mordida ou não #iphone #apple #assistenciatecnica #tecnologia #entretenimento,RC ASSISTEC ,UCfRCcc9rL-ztzFA4KcYdAUg,2026-06-03T16:54:40Z,22,https://i.ytimg.com/vi/dR2x7GdJW60/default.jpg,2220511,82174,346,[],PT1M2S
Fl8_mzLCjxc,BATERIA DE CELULAR em 2000 vs 2050,Jooj Natu,UCVVksn-TMGmkwvirl_neMWw,2026-06-02T20:31:58Z,20,https://i.ytimg.com/vi/Fl8_mzLCjxc/default.jpg,1577206,154648,499,[],PT40S
NNbBP60FaM0,Iphone 18 #shorts,Amandinha,UC0cx38VIfmVZva-rYnMmevQ,2026-05-31T22:30:29Z,20,https://i.ytimg.com/vi/NNbBP60FaM0/default.jpg,1261015,52316,708,[],PT13S
rgq7AiY1cqE,🔴POV: voce quebrou o celular em 2015! funciona?* ib:argenby,Kadukos,UCcDzA9vZv1-HdxKwP7yuPJA,2026-06-05T21:00:22Z,24,https://i.ytimg.com/vi/rgq7AiY1cqE/default.jpg,427952,12928,39,[],PT15S
FZ9pDZ8NJj8,iPhone 17 com BARRO! 😱 Limpeza,Ivis TV,UCSkloWfKB48_abD_vpw2iPg,2026-06-05T02:36:36Z,24,https://i.ytimg.com/vi/FZ9pDZ8NJj8/default.jpg,414577,9595,37,[],PT35S
WVtrGZ1QNxw,Ele recebeu um notebook de 24 anos atrás! - Canal do 1155 do ET,Sev7n Games OFICIAL,UCvpGyfQIzrghmPdm7KUDFmg,2026-06-02T04:15:37Z,20,https://i.ytimg.com/vi/WVtrGZ1QNxw/default.jpg,619960,95680,1206,"['games', 'jogos', 'curiosidades']",PT1M39S
co18MZypHm0,jbl go4 pvc pipe drop jumping,Dipesh Chauhan,UCY6gTaTARkQG6abRc7uU2oA,2026-05-26T02:56:05Z,22,https://i.ytimg.com/vi/co18MZypHm0/default.jpg,32474099,301853,185,[],PT26S
tW7MJqlr2Ko,Será que um cartão de 2 Terabytes da shopee funciona?,Mike Fantástico,UC9QOTx47irc-ujSxRZCA6Bg,2026-06-01T15:00:06Z,22,https://i.ytimg.com/vi/tW7MJqlr2Ko/default.jpg,661745,46786,205,[],PT27S
TUSdUqxlnrQ,Drone de R$130 vs R$2900 😱,Rafa 5K,UCQwt-lqgIOcEJkeivPDfLlg,2026-06-02T22:34:19Z,22,https://i.ytimg.com/vi/TUSdUqxlnrQ/default.jpg,536866,31206,165,[],PT3M
MG9wzi8r2Z4,comprou smartwatch falso e falou que era original #shorts #short #ytshorts #apple #iphone #ios #fyp,Pedro Ribeiro,UClhTWJnI-Y5stewJFYDoLEw,2026-06-01T21:04:21Z,22,https://i.ytimg.com/vi/MG9wzi8r2Z4/default.jpg,617207,41124,260,[],PT1M2S
Jr2um0PSmlA,☠️⚡ IPHONE 17 PRO MAX VS SAMSUNG S25 ULTRA SPEED TEST!!,TECH_JMR,UCZAPWb_3a6DEIsj-WIQuF5A,2026-06-06T05:30:02Z,28,https://i.ytimg.com/vi/Jr2um0PSmlA/default.jpg,3007468,,326,[],PT10S
ypM6ZeGpnzs,Seu iPhone arranhou? Veja a solução kkkk #iphone,Rodrigo Moreira,UC37Ij-kMrbM_83CJiMFGL7A,2026-06-04T02:03:22Z,28,https://i.ytimg.com/vi/ypM6ZeGpnzs/default.jpg,323130,14680,127,[],PT32S
PWW4TjjZTrg,COMO ENCONTRAR UM VÍDEO QUE VOCÊ PERDEU NO FEED?,Naggi,UCNHyewBZiVv1uXAfJ1PByoA,2026-06-01T21:30:31Z,22,https://i.ytimg.com/vi/PWW4TjjZTrg/default.jpg,501693,32200,270,[],PT16S
ULLeQZPCy3g,Facilidade para desbloquear o Nintendo switch,Luidy,UCVX__Z0hSrmCxQhSqTnGSmw,2026-05-27T22:05:19Z,27,https://i.ytimg.com/vi/ULLeQZPCy3g/default.jpg,1296081,105749,608,"['Hardware', 'console', 'pc gamer', 'nintendo switch', 'switch desbloqueado', 'switch lite', 'switch 2', 'switch oled', 'luidy tech']",PT1M9S
rmIQzst01eg,Quem tem impressora 3D entende 😂😂 #viral,Mano Jobs,UCL1lFHrPzlQBXCXbpDri2WA,2026-06-07T15:00:25Z,24,https://i.ytimg.com/vi/rmIQzst01eg/default.jpg,60610,3041,26,[],PT31S
-LpyqOvpdC0,iPhone 17 Pro Max Cosmic Orange 📱 🔥#noads #tiktok #usa,Gigglify,UCiSm0xyn8gGi8SHSkUbK2_A,2026-05-30T22:44:41Z,10,https://i.ytimg.com/vi/-LpyqOvpdC0/default.jpg,4079528,161654,943,[],PT15S
6de0oKbha5A,Troca somente do vidro iPhone 17 Pro Max!  Quanto você acha que eu cobrei por esse serviço?,João Longo,UCyT0nFJbsXtiPXiOypQqHZw,2026-05-24T16:00:50Z,22,https://i.ytimg.com/vi/6de0oKbha5A/default.jpg,1700707,117784,797,[],PT2M36S
E1rST6HR0ks,Desta vez não é um S23 ultra e sim um S22 ultra que eu acho que não deveria ter quebrado a tampa 🥲,Oficina Do celular,UCY_-5EJuvC4AxT0x5gYcB8A,2026-06-06T11:46:10Z,22,https://i.ytimg.com/vi/E1rST6HR0ks/default.jpg,156845,21583,388,[],PT3M
HsUXyv9giso,Como ligar para a polícia silenciosamente sem o ladrão saber ativando essa função de emergência!,Jef Dicas Tech 📱Tecnologia ,UC2gDoWudSZ5jPKibWWZqfdQ,2026-05-30T23:38:48Z,28,https://i.ytimg.com/vi/HsUXyv9giso/default.jpg,1152660,49161,608,"['Dicas', 'Celular', 'Tecnologia', 'Curiosidades', 'Utilidade pública']",PT49S
JNKshq37RH4,iPhone 17 ProMax DESTRUÍDO,LucasNa07,UCTKb5qRtogm6HEW0gg5V42A,2026-06-02T14:50:43Z,2,https://i.ytimg.com/vi/JNKshq37RH4/default.jpg,218593,9865,70,[],PT1M15S
YvMkK7sJMD4,O Celular do ChatGPT que vai DESTRUIR o iPhone 🛑,Izabela Anholett,UCGi_SASiOZwMqq5Surm8BnA,2026-06-05T10:45:21Z,28,https://i.ytimg.com/vi/YvMkK7sJMD4/default.jpg,145580,16224,457,[],PT1M37S
3tf5CZizmE4,bucha de parede no conector da sua TV #DicaCaseira #TV #SomLimpo #BuchaDeParede #SoluçãoSimples,Ideias do Gênio  IA,UC-3EF2RHIAM-tW7aN48mMTg,2026-05-29T14:01:23Z,22,https://i.ytimg.com/vi/3tf5CZizmE4/default.jpg,388877,11410,93,[],PT1M31S
ibVc2hisvxo,QUANDO VOCÊ LEVA O COMPUTADOR PARA ARRUMAR 💻,Natu Cortes,UCUR94DcXYgUCqksnhJQfoZA,2026-06-03T17:13:37Z,22,https://i.ytimg.com/vi/ibVc2hisvxo/default.jpg,183972,11643,34,[],PT30S
hkNW6-73s5E,Fiz um upgrade na caixa #eletronica #som #gambiarra #tecnologia #assistenciatecnica,Assistência Litimcell,UCA1N-DZxhLnccJLmHMB3-7A,2026-06-04T22:10:28Z,20,https://i.ytimg.com/vi/hkNW6-73s5E/default.jpg,240532,12363,270,[],PT1M18S
jzGq_doEMWA,A TEMU me CHAMOU pra uma PARCERIA KKKKK (e me Ofereceu Muito...) #neon #tech #temu,Neon+ Tech,UCBNjDYcVgF_lsHwMHFGVh2g,2026-06-04T22:05:00Z,28,https://i.ytimg.com/vi/jzGq_doEMWA/default.jpg,124203,10559,133,[],PT46S
