video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count,tags,duration
wMi8l-RVv6g,AQUELES VÍDEOS DA NOVELA DAS FRUTAS DE IA - Pt 16,Rick Santina,UC3jZA6_SquyzGdw7nyt6SEg,2026-06-06T21:07:38Z,24,https://i.ytimg.com/vi/wMi8l-RVv6g/default.jpg,4785812,164359,406,"['Ricksantina', 'Santina', 'Família Santina', 'Comédia', 'TikTok', 'Reels', 'Shorts', 'Novela das frutas', 'Frutas de ia', 'Abacatudo', 'Moranguete']",PT45S
ff1K29JJTus,Sem risadinha,QG OS GRUDE,UCi2s-aeKSTjQsxYR2s9ebbg,2026-06-06T22:56:01Z,22,https://i.ytimg.com/vi/ff1K29JJTus/default.jpg,1522822,40132,163,[],PT27S
HgOx2iEW4Is,Fazendeiro e a bota 😨,Universo Labz,UCvyuoJQWxHWbswTSGxGA71w,2026-06-06T00:00:24Z,24,https://i.ytimg.com/vi/HgOx2iEW4Is/default.jpg,2106648,75904,196,[],PT25S
LcaUtdoz7-8,meninos que eu GOSTO vs meninos que GOSTAM DE MIM,Giuliana Mafra,UCcO3pf47GO1rxL4tlWEs5Ow,2026-06-06T23:00:02Z,24,https://i.ytimg.com/vi/LcaUtdoz7-8/default.jpg,1722775,104923,657,[],PT17S
u4LCxZ__apw,ACABOU A BATERIA DO RELÓGIO QUE ME TELETRANSPORTA! #shortsviral,Mundo Di,UCtNPrbKQ5yeBNLzvSSqnFJA,2026-06-07T16:50:40Z,29,https://i.ytimg.com/vi/u4LCxZ__apw/default.jpg,1164702,125127,55,[],PT29S
sK8OznoLS-M,PORQUE A DAIANE DA TANTO MEDO??,Pv,UCIAzQddxOU-nmbM1Gw2i32A,2026-06-05T13:00:07Z,24,https://i.ytimg.com/vi/sK8OznoLS-M/default.jpg,2215870,199991,326,[],PT59S
BlydTAc4rX8,It’s Impossible To Make Me Mad!,Topper Guild,UCPuEAY09CtdTzFNWuqVZgDw,2026-06-07T12:00:03Z,24,https://i.ytimg.com/vi/BlydTAc4rX8/default.jpg,10952550,478113,1060,[],PT1M5S
0Kkuu435-TI,ADVINHANDO A FALA DOS ROSA ...,Emilly Vick,UC63iwP6BtIjxB6xn1GKR6Lw,2026-06-02T20:30:13Z,28,https://i.ytimg.com/vi/0Kkuu435-TI/default.jpg,3724774,119097,1626,[],PT23S
rS68jU5srTk,SE INSCREVE AI POXA 🥲🥰😂 #humor #comedia #dança #trend,ByeBrunoFagundes,UCSoNuh3jnOJ_9z6qLDseBEw,2026-06-07T15:05:34Z,22,https://i.ytimg.com/vi/rS68jU5srTk/default.jpg,944053,16266,211,[],PT11S
Agb69bupLHY,O filho dele quebrou o martelo do juiz no tribunal,Justiça em Debate,UCAycXV9GPjnr7aYTN9a6a4g,2026-06-04T23:00:39Z,24,https://i.ytimg.com/vi/Agb69bupLHY/default.jpg,2363713,188477,574,"['#tribunal', '#justiça', '#noticia', '#sentença', '#viral', '#frankcaprio', '#casosreais', '#shorts', '#viralshorts', '#multadetransito', '#pai', '#criancafeliz']",PT1M49S
alny12-kC6c,"After mocking my daughter for being timid, I was actually startled myself",昕昕,UCukNqkkPLIBakMKNG-89Bmg,2026-06-04T10:22:34Z,23,https://i.ytimg.com/vi/alny12-kC6c/default.jpg,76028917,1153366,8049,[],PT17S
RZ4AH6W28jI,Tenho que salvar o mundo 🌍,Vkmidia,UCLlx20_Msx-dIVSedgGl7yA,2026-06-03T15:56:33Z,22,https://i.ytimg.com/vi/RZ4AH6W28jI/default.jpg,2493665,38307,404,[],PT26S
h34NWbjj3xU,A quem ele puxou a malandragem?😂❤️,Victor Pac,UCUteKlvz5S0QiWQ2El0Y1qg,2026-06-01T21:00:21Z,22,https://i.ytimg.com/vi/h34NWbjj3xU/default.jpg,3991689,149379,323,[],PT1M11S
LusZIDdEjkA,Quem bagunçar a casa vai dormir cedo! #humor #comedia #shorts,Ju e Rafa,UCxIjOoAuCJPlwHbRVhqx0WQ,2026-06-06T15:16:46Z,22,https://i.ytimg.com/vi/LusZIDdEjkA/default.jpg,1113712,30992,286,[],PT25S
ZclHsjPBzkc,Deadpool está à procura de heróis para se juntarem à sua equipe🔥 #filmes,Tesouro do Cinema,UC8c-ANiy279fj__7HC6hchQ,2026-06-04T14:41:53Z,15,https://i.ytimg.com/vi/ZclHsjPBzkc/default.jpg,1834888,173838,525,[],PT59S
Uz-OIQm6i5Y,o espanhol é engraçadinho ne? 🤓,Sarah Femina,UCmp2kBrky45QQKhUpusrsNA,2026-06-04T21:18:45Z,24,https://i.ytimg.com/vi/Uz-OIQm6i5Y/default.jpg,1914254,130371,419,[],PT37S
Qu_j5Q2w9H8,A maquiagem ficou pra depois 😂💄🤦 KKKKKKK #shorts #engraçado #humor #comedia,Tio Q Rir,UCEb35hs9XV40V04dvcz3jMg,2026-06-03T20:15:01Z,23,https://i.ytimg.com/vi/Qu_j5Q2w9H8/default.jpg,2339835,176641,316,"['humor', 'engraçados', 'comedia', 'shorts', 'rir', 'mulheres', 'pov']",PT51S
g0sjVFM0tIQ,O SILVIO NÃO PERDOAVA NEM AS FILHAS DELE #shorts,Canal Brasilizado,UCyGyB74ItjqNoA9dHvMAVTw,2026-06-02T20:51:16Z,24,https://i.ytimg.com/vi/g0sjVFM0tIQ/default.jpg,2528849,123572,1180,"['programa do silvio santos', 'silvio santos e iris', 'silvio santos e filhas', 'silvio santos e filhas no programa', 'silvio santos e sua filha', 'familia do silvio santos', 'silvio santos e sua esposa', 'videos engraçados', 'shorts para rir', 'shorts engraçados', 'renata abravanel', 'silvia abravanel', 'rebeca abranavel', 'tiago abravanel', 'maisa', 'silvio santos pegadinhas', 'silvio santos jogo das 3 pistas', 'silvio santos jogo das 3 dicas', 'jogo dos pontinhos', 'show do milhão']",PT44S
UTQwqfE4QiU,QUANDO VOCÊ TROCA FIGURINHAS DA COPA #Shorts,DandoTrela,UC2QiCQkZMB3xjZ9erQyyXOA,2026-06-06T15:00:15Z,23,https://i.ytimg.com/vi/UTQwqfE4QiU/default.jpg,1044864,39097,122,"['shorts', 'shorts no brasil', 'comédia', 'humor', 'álbum da copa', 'copa do mundo']",PT23S
Z0Q5075JL9c,Quando o colega é bem lerdo😂#mindset #motivação #inspiração #felicidade #viral #divertido #trabalho,Marco Morastoni ,UCInIBv_ZsDyC5U4aIygshCw,2026-05-28T21:15:37Z,24,https://i.ytimg.com/vi/Z0Q5075JL9c/default.jpg,6525791,179442,242,"['shorts motivacional', 'shorts de motivação', 'motivação', 'inspiração', 'shorts para se inspirar', 'shorts motivacionais', 'mindset', 'shorts de inspiração', 'esperança', 'shorts sobre esperança', 'hopecore', 'Eis que o teu mano te da uma bela lição', 'Eis que o teu mano te deixa pensativo!', 'frase reflexiva mano', 'humildade', 'Uma Frase Que Vai Te Fazer Refletir', 'shorts deus', 'shorts jesus', 'motivacional', 'shorts de fé', 'Milagre! 2 Vidas Salvas!', 'Quando não precisa teste', 'Pensa num casal inteligente😂']",PT16S
jsKotrGJbuQ,Jogadores da copa #viralvideos #humor #youtube #comedia #copadomundo,Anielly frutuoso,UCeVMQwqpgDmZ3QI_-U1HZ7Q,2026-06-04T21:07:02Z,22,https://i.ytimg.com/vi/jsKotrGJbuQ/default.jpg,1918441,38855,237,[],PT1M50S
kEHGKY_abGA,AQUELE AMIGO SORTUDO 🍀 😂,Mateus Erd,UCQkUnTI-Zk44kw9q4cfPzwg,2026-06-03T22:15:13Z,24,https://i.ytimg.com/vi/kEHGKY_abGA/default.jpg,2444761,101958,380,[],PT58S
8s7pzNnWnOw,NINGUEM VIU NADA,Aninha zk,UCGRbsIDO4koh-gencP_eCYg,2026-06-04T22:21:16Z,20,https://i.ytimg.com/vi/8s7pzNnWnOw/default.jpg,1437845,70641,512,[],PT13S
8MfHc5PoQjE,POV IRMÃO VICIADO NAS FIGURINHAS DA COPA,O Victor Magalhães,UCGPCO1PVeWZ-egT6F2wKnaw,2026-06-01T23:39:12Z,24,https://i.ytimg.com/vi/8MfHc5PoQjE/default.jpg,4110330,201159,1680,"['shorts', 'shortsbrasil', 'comédia', 'anime', 'humor']",PT50S
pz10bZ_ZcBw,A atendente que quase me enlouqueceu 😑 #shorts,gustta shoow,UCrzykJh4NlrP1Bj71ecfoag,2026-06-04T18:14:58Z,22,https://i.ytimg.com/vi/pz10bZ_ZcBw/default.jpg,1945854,122207,1274,[],PT1M15S
CqNebAJR9h8,qual desses É VOCÊ NA ESCOLA?,Jand Descobre,UCN8AhEFcQgRT8nqRrXbiwhA,2026-06-01T22:00:20Z,22,https://i.ytimg.com/vi/CqNebAJR9h8/default.jpg,2586889,59391,138,[],PT15S
eZBY0ur4xGg,Coisas que te fazem perder “AURA” 🤦🏽‍♂️,Fernando Fernandes,UCfXRyYADI9Pkf-ITj7DWtQA,2026-06-03T15:00:04Z,20,https://i.ytimg.com/vi/eZBY0ur4xGg/default.jpg,2168516,252416,226,[],PT23S
H2MpB3b0i7g,"Versão feminina do coronel Jesuíno da novela , hoje eu vou lhe usar 🤣 #cena #humor #meme #comedia",A ruiva da roça / Fabio Castro,UCWxGghAvc6Nnu381Qq64ovQ,2026-06-04T21:00:15Z,22,https://i.ytimg.com/vi/H2MpB3b0i7g/default.jpg,1352422,32219,163,[],PT21S
