video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
EPIrEWn6yeE,The Alternative to Starlink You Never Knew Existed,Nick Jolin,UCG0RV-CwN17PHoadq0MheEQ,2026-05-26T23:13:38Z,26,https://i.ytimg.com/vi/EPIrEWn6yeE/default.jpg,184565,7511,606
_UUKRjgwH1w,AMD warmed us up some leftovers,Paul's Hardware,UCvWWf-LYjaujE50iYai8WgQ,2026-06-01T00:00:29Z,28,https://i.ytimg.com/vi/_UUKRjgwH1w/default.jpg,71227,4876,442
aK5dVzxD45w,When You Delist Your Own Stock...The Fall Of Razer,Logically Answered,UCZRoNJu1OszFqABP8AuJIuw,2026-06-01T19:00:04Z,28,https://i.ytimg.com/vi/aK5dVzxD45w/default.jpg,192679,4539,807
5vVvwbclrUo,One Simple Mistake Can Ruin Your TV Display 🤯 #shorts,FactTweakX,UC2gnc6OYd_c7DO8tUS4HKqQ,2026-05-10T20:20:53Z,22,https://i.ytimg.com/vi/5vVvwbclrUo/default.jpg,3589917,85678,336
cWWP_-QRdkg,Google 深夜放大招！Gemma 4 12B 开源模型发布，普通电脑也能跑？实测结果出乎意料！本地部署及下载 | 零度解说,零度解说,UCvijahEyGtvMpmMHBu4FS2w,2026-06-05T12:45:25Z,28,https://i.ytimg.com/vi/cWWP_-QRdkg/default.jpg,76684,1254,176
V2lEgMHF2Fo,I should not have liked the world’s first smart home.,Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,2026-05-18T15:00:57Z,27,https://i.ytimg.com/vi/V2lEgMHF2Fo/default.jpg,1460178,61870,2826
kkLdMRQgSBM,AMD’s Launching Back-To-Back CPU REVOLUTIONS!,Gamer Meld,UCkK4Tzb9ieuAhcyWUZnLBBQ,2026-06-03T23:52:18Z,28,https://i.ytimg.com/vi/kkLdMRQgSBM/default.jpg,57676,1694,183
B2tuLkiTLVI,Now everything is covered with it #interesting,Brain Nugget,UCNJwLuznHAfTY_eG1sc-SAQ,2026-05-04T12:00:17Z,28,https://i.ytimg.com/vi/B2tuLkiTLVI/default.jpg,1671293,56679,2106
TjB91Ny6gLo,iOS 26.5.1 is Out! - What's New?,zollotech,UCiQMYozSSTkJ2twtZM1bG9w,2026-06-01T19:56:12Z,28,https://i.ytimg.com/vi/TjB91Ny6gLo/default.jpg,107337,2970,531
S1J1ow1SfX8,Betting $20 on the SWITCH & PS5 PRO!!,Bet Gentlemen,UC3r5Ak4THDY5GyCiWskW38A,2026-05-19T20:30:30Z,22,https://i.ytimg.com/vi/S1J1ow1SfX8/default.jpg,624220,12943,130
0IYGwewzNSM,Ps5 vs Xbox 🎮 Which One Is Better?,Sububafu,UCPnFcaB-nmaewYnu_zTsCRw,2026-05-17T13:55:41Z,22,https://i.ytimg.com/vi/0IYGwewzNSM/default.jpg,4704267,76386,572
hdwlJSnHviM,PHANTEKS DID IT... AGAIN!,Hardware Canucks,UCTzLRZUgelatKZ4nyIKcAbg,2026-05-31T10:44:31Z,28,https://i.ytimg.com/vi/hdwlJSnHviM/default.jpg,172175,6897,890
antDqfsTIeg,11 iPhone Features You'll Wish You Knew YEARS Ago,Proper Honest Tech,UCi7eZm4CkFiLEZ4tF4Er4lA,2026-06-03T14:00:22Z,28,https://i.ytimg.com/vi/antDqfsTIeg/default.jpg,105546,6197,109
6YGVo48qPaA,The silent killer scrapping millions of Apple products.,Luke Miani,UC3c8H4Tlnm5M6pXsVMGnmNg,2026-05-31T17:30:23Z,28,https://i.ytimg.com/vi/6YGVo48qPaA/default.jpg,159208,7848,587
ZqN38OyK1KI,How China's Smart Glass Instantly Switches from Opaque to Clear 😍,Endless Love,UCH8x9zAJbpfipmHosNuwu_A,2026-06-01T12:30:16Z,10,https://i.ytimg.com/vi/ZqN38OyK1KI/default.jpg,198181,1846,62
z5YSyEuShdY,"Nvidia Enters the Laptop Market with Superchip, Taking on Intel and AMD",Bloomberg Technology,UCrM7B7SL_g1edFOnmj-SDKg,2026-06-01T19:52:27Z,25,https://i.ytimg.com/vi/z5YSyEuShdY/default.jpg,38830,359,70
abMcH_AsY5U,緊急買入！黃仁勳剛說了可以發財股票！我找到了！,尼可拉斯楊Live精,UCXUP_aBLQBNFgLjvnrMTHtw,2026-06-02T12:56:15Z,27,https://i.ytimg.com/vi/abMcH_AsY5U/default.jpg,129003,5473,577
z6AukDWViNs,Don't Rip This Off Your TV?? 📺😱,SkyFlicks ,UC1taXIP_TvvNrlEv0jSXHUg,2026-05-14T11:39:37Z,22,https://i.ytimg.com/vi/z6AukDWViNs/default.jpg,1030239,59825,99
6GclpxdPWrk,What Is LG Thinking? LG C6 OLED Review,Andrew Robinson,UCBABCFhPeGFwW8WdjoQjk3Q,2026-05-31T15:59:29Z,28,https://i.ytimg.com/vi/6GclpxdPWrk/default.jpg,75548,3103,584
MqlfdriaRU8,Apple Music?,Landen Purifoy,UCwSaacj6JmPWffsE_3t5Zhw,2026-05-12T13:00:40Z,10,https://i.ytimg.com/vi/MqlfdriaRU8/default.jpg,1939757,86596,260
YyEmD3e2t20,What Really Happens When You Mark A Text Or Call As Spam (Do This Instead),Trevor Nace,UCU5pjAzVVE68WbU9KbAB6QA,2026-06-02T15:00:06Z,28,https://i.ytimg.com/vi/YyEmD3e2t20/default.jpg,65836,2765,90
_U6MdoC00Vg,"Introducing the ""VitaWear SmartBand,"" a next-generation wearable gadget🎉",JK FATCS,UCODRg5Ta9suG6Z862-l7o_Q,2026-05-04T11:47:25Z,22,https://i.ytimg.com/vi/_U6MdoC00Vg/default.jpg,3102303,303244,1554
faGHQCUkupo,💀 Apple ждет ЖЕСТОКАЯ РАСПЛАТА за удаление мессенджера MAX из App Store,Wishmaster — кибербуллинг и технологический абьюз,UCsxQ4yKTEzz-FzjGwG_lTZw,2026-06-05T00:50:20Z,28,https://i.ytimg.com/vi/faGHQCUkupo/default.jpg,225743,6192,1690
_WjOtF1CFuA,Reparación de mando exclusivo de Nintendo #joycon #nintendo #dragonquest #serviciotecnico #switch,SCUF PE,UCljMJg2iKkYmCT1EsYnCcBQ,2026-05-05T00:19:59Z,20,https://i.ytimg.com/vi/_WjOtF1CFuA/default.jpg,11000184,601305,4910
Yz2_DffnHW0,"Inside an emergency urine, sea water or salt water powered light",bigclivedotcom,UCtM5z2gkrGRuWd0JQMx76qA,2026-06-05T17:30:06Z,28,https://i.ytimg.com/vi/Yz2_DffnHW0/default.jpg,75053,3715,616
074Wfabrywk,Nvidia Shows Off First Windows Laptops And Desktops Powered Entirely By Its Own Chip,Forbes Breaking News,UCg40OxZ1GYh3u3jBntB6DLg,2026-06-01T15:08:23Z,25,https://i.ytimg.com/vi/074Wfabrywk/default.jpg,30111,229,57
WGC037z34vU,“Me watching this☠️” #pcgaming #benchmark #rtx5050 #gtx1080ti,Hardware Nf,UCH2SiyEd6sMu-lZ_ObVDwKQ,2026-05-28T10:40:54Z,28,https://i.ytimg.com/vi/WGC037z34vU/default.jpg,2588335,89470,915
kXfot0DmtZI,mira como hacer una bobina casera para tus inventos con luz led..,Invento Casero,UC8hhWrRqpcDiQ4Zs3DYjpcA,2026-05-17T02:07:14Z,22,https://i.ytimg.com/vi/kXfot0DmtZI/default.jpg,691947,24806,584
YuiLMyi_v7o,The Most Powerful Smartphone of 2026,Unbox Therapy,UCsTcErHg8oDvUnTzoqsYeNw,2026-06-04T16:32:04Z,28,https://i.ytimg.com/vi/YuiLMyi_v7o/default.jpg,297024,5554,316
eNHt-pOpHe4,Precise sequence of the orange iPhone 17 Pro Max Cosmic #shorts #noads,Junão Pro Player,UCBw__Ft6UAcQ_iHEfAeCaEA,2026-05-05T03:53:12Z,22,https://i.ytimg.com/vi/eNHt-pOpHe4/default.jpg,19966966,746898,1446
eALBZ7UC8Z0,They’re not all the same. #iphone17promax #iphone #japan,Tyler Morgan,UCi073ielQGpgcXYXpCIaA_g,2026-05-27T17:11:41Z,27,https://i.ytimg.com/vi/eALBZ7UC8Z0/default.jpg,332128,20246,259
9DNf7gB6EhM,how much i’ve spent at the #apple store!! #applestore #tech #appleecosystem #appleproducts,reddnea,UCLnalL78FAJPhM6e9xD9U2A,2026-05-09T20:20:58Z,24,https://i.ytimg.com/vi/9DNf7gB6EhM/default.jpg,944280,39260,1317
