video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count,tags,duration
q5mXyMWZADY,Neymar Reveals Best Teammate & Struggles with Worst! #shorts,FALA JOGADOR TV,UCpgAYhlybOiEezqB2fDDJMg,2026-05-28T14:28:43Z,17,https://i.ytimg.com/vi/q5mXyMWZADY/default.jpg,957791,50056,711,[],PT1M43S
MXsAL-ZyNXw,MESSI DEU TRABALHO PRO CASILLAS 😮‍💨,Romário TV,UCDUmY6hhe6qOzf_syVE-8Gg,2026-06-01T00:40:09Z,17,https://i.ytimg.com/vi/MXsAL-ZyNXw/default.jpg,362255,17509,242,"['Romário TV', 'De cara com o cara', 'Entrevista Romário', 'Romário podcast', 'Romário Entrevista', 'RomárioTV', 'Romário de cara com o cara']",PT24S
6TpMltNfrQQ,AS COISAS QUE O MEU NAMORADO FAZ POR MIM KAKAKAK🇧🇷💚 até a dança da copa😹,mihtanino,UCTpI0zTHoMh-aph02V4xUWA,2026-06-01T16:20:05Z,24,https://i.ytimg.com/vi/6TpMltNfrQQ/default.jpg,466299,37010,940,[],PT35S
s5LQkI_Z4LI,Neymar ou Mbappé? #neymar #mbappe #copadomundo,Mundo Di Fut,UCRSuVS12pGcB26hv5WV-mnA,2026-05-26T15:21:27Z,22,https://i.ytimg.com/vi/s5LQkI_Z4LI/default.jpg,1292844,152134,302,[],PT23S
taKyo-JRcms,BRASILEIRÃOb - RODADA 17 #corinthians #brasileirao #atléticomineiro,GolPlay,UCsGzkTfn9miUC6S4XwSyJOg,2026-05-25T21:00:00Z,22,https://i.ytimg.com/vi/taKyo-JRcms/default.jpg,1314260,16948,172,[],PT15S
wEgWBV28KCA,Ronaldo VS Modric VS Messi Vs Mão na Bola 😱,Clubista Curioso,UCHAOQVNt7kw16vazvOpoibQ,2026-05-31T21:00:09Z,17,https://i.ytimg.com/vi/wEgWBV28KCA/default.jpg,340918,9503,8,[],PT28S
XjrMgWEjlNE,Você é insano @miguellealskt ✈️📈🛹 #skateboard #skatebrasil,Skatideia ,UCffeoxT9iRBtzjxUryBCwZQ,2026-06-01T15:32:49Z,17,https://i.ytimg.com/vi/XjrMgWEjlNE/default.jpg,390008,26679,158,[],PT2M7S
MlQMAjhg5c4,Skills with Giannis! ⚽️🏀🤩 #football #soccer #skills #giannis #giannisantetokounmpo,Leonstreetskills,UC-Oa8LGZdWbCiM_cKGOVkxg,2026-05-31T14:28:46Z,22,https://i.ytimg.com/vi/MlQMAjhg5c4/default.jpg,1404065,14695,32,[],PT14S
q38bEC-O9IU,O sonho dessa garota era conhecer o Neymar 🥹❤️,Gê Shorts,UCJLL9PXBHcZ6WiypMsgcePw,2026-05-28T15:00:30Z,24,https://i.ytimg.com/vi/q38bEC-O9IU/default.jpg,929784,35432,112,[],PT35S
yBJ_92SFZMQ,Griezmann VS Beckham VS Grealish VS Pedro VS Messi VS Ronaldo 🧿🔥,Football&Soccer,UCxYQb8A6OzVoJtqd-mAgBaw,2026-05-29T09:00:02Z,17,https://i.ytimg.com/vi/yBJ_92SFZMQ/default.jpg,5610718,116723,181,[],PT21S
