video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
QdNmVWXuYec,"SUMMER GAME FEST 2026: Official 4K60FPS Livestream, (Resident Evil Veronica, FINAL FANTASY VII)",thegameawards,UCqDS7KWjAPKv-7ZSlro9OiQ,2026-06-06T00:27:34Z,20,https://i.ytimg.com/vi/QdNmVWXuYec/default.jpg,10531717,146544,537
5F5MKI_jXJw,I Survived 100 Days In Realistic Minecraft,MrBeast Gaming,UCIPPMRA040LQr5QPyJEbmXA,2026-06-06T16:00:01Z,20,https://i.ytimg.com/vi/5F5MKI_jXJw/default.jpg,7669830,270626,12216
4v_jk0w7wR0,1000 Players Simulate THE PURGE in Minecraft,Wemmbu,UCkzzNLnuM-VsATWC53ehwOQ,2026-06-06T23:10:50Z,20,https://i.ytimg.com/vi/4v_jk0w7wR0/default.jpg,541192,68273,16597
bx9Jijm5bjA,HOSTING STEAL A BRAINROT ADMIN ABUSE!,CaylusBlox,UCsPMNatXCwqyUuJilBT73jg,2026-06-06T20:45:21Z,20,https://i.ytimg.com/vi/bx9Jijm5bjA/default.jpg,1577977,53764,559
wHfY1TjmRnc,"Another Day, Another Road Trip...",SMii7Yplus,UC-gW4TeZAlKm7UATp24JsWQ,2026-06-06T19:13:39Z,20,https://i.ytimg.com/vi/wHfY1TjmRnc/default.jpg,398569,27793,924
AYmNWyF9lOY,🔴 LIVE! - NEW SEASON 3 COUNTDOWN!,Typical Gamer,UC2wKfjlioOCLP4xQMOWNcgg,2026-06-06T13:59:22Z,20,https://i.ytimg.com/vi/AYmNWyF9lOY/default.jpg,1921364,32669,93
4i3GHno_CGI,WE MADE OUR PARENTS MAD..,Tyler & Snowi,UCzzF1kdBgwv5RB6rbB6kVSA,2026-06-06T20:42:37Z,20,https://i.ytimg.com/vi/4i3GHno_CGI/default.jpg,248671,20728,371
WmXbKZijDyg,Testing Scary Myth Minecraft Lies That Are Unsolved…,PrestonPlayz,UCJZam2u1G0syq3kyqrCXrNw,2026-06-06T14:15:04Z,20,https://i.ytimg.com/vi/WmXbKZijDyg/default.jpg,349068,8237,618
8N9QN4X1pIk,Godzilla Destroy All Monsters Melee: Remastered Official Announce Trailer - IGN Live 2026,IGN,UCKy1dAqELo0zrOtPkf0eTMw,2026-06-06T19:32:32Z,20,https://i.ytimg.com/vi/8N9QN4X1pIk/default.jpg,268830,20965,2400
VlrcX3aXpgY,What is the Worst Ghost Type Pokemon?,WolfeyVGC,UC9OZkS1Mhl5UvKSiPrYqsxg,2026-06-06T15:00:22Z,20,https://i.ytimg.com/vi/VlrcX3aXpgY/default.jpg,341614,19904,1111
pERhXgUsyZ8,This Racing Game is Still Hilarious,SMii7Y,UCzXwjTI6c6mVn6oui_p6oiw,2026-06-05T19:13:24Z,20,https://i.ytimg.com/vi/pERhXgUsyZ8/default.jpg,1064777,57256,1839
qBYXTjzqutw,Going into My Friend’s Heads to Find SECRETS!,Cash,UC0eLBYhxW9HC0P9PXQ73mpQ,2026-06-06T15:00:20Z,24,https://i.ytimg.com/vi/qBYXTjzqutw/default.jpg,257844,4185,850
jp0MlhMJvhM,THIS IS IT?! SUMMER GAME FEST 2026 LIVE 🔴Full Stream🔴 (6-5),Maximilian Dood,UCOgaIuQYGr6ow_jbote4BKA,2026-06-06T04:51:06Z,20,https://i.ytimg.com/vi/jp0MlhMJvhM/default.jpg,895487,21548,478
9d1E_MUDllA,OPTIC TEXAS vs RIYADH FALCONS!! SCUMP WATCH PARTY - CDL MINOR ll TOURNAMENT DAY 2,Scump,UCCWSG8MXoqvIEBPRnOSxwzw,2026-06-07T00:26:33Z,20,https://i.ytimg.com/vi/9d1E_MUDllA/default.jpg,223411,3008,9
5cnIkR8f5tE,I’m Going for Another World Record…,CaseOh,UC63anZxfVGHUEmfBAf5w7pw,2026-06-06T22:00:27Z,20,https://i.ytimg.com/vi/5cnIkR8f5tE/default.jpg,86931,5370,693
s-OqeycNUbA,"Fortnite *SEASON 3* Is Here! (New Map, Mythics, Sprites)",TG Plays,UCqVCSWnuOSPm26orvNDTuWQ,2026-06-06T10:03:39Z,20,https://i.ytimg.com/vi/s-OqeycNUbA/default.jpg,332110,8007,485
arWClcUVxm8,The Story Of Mario Maker's Impossible Levels,Summoning Salt,UCtUbO6rBht0daVIOGML3c8w,2026-06-06T01:07:45Z,20,https://i.ytimg.com/vi/arWClcUVxm8/default.jpg,697630,48263,3743
4ULmCpdeGPU,IEM Cologne Major 2026 - Day 5 - Stream A,ESL Counter-Strike,UCPq2ETz4aAGo2Z-8JisDPIA,2026-06-06T21:05:00Z,20,https://i.ytimg.com/vi/4ULmCpdeGPU/default.jpg,1501736,11075,14
hM2Ofso_w0c,"Future Games Show: Summer Showcase 2026 - Official Livestream (Exodus, FGS Live From LA, More)",FGS,UCYyyaFiIqyIkye9JwYGJYGA,2026-06-06T21:36:49Z,20,https://i.ytimg.com/vi/hM2Ofso_w0c/default.jpg,376613,9231,72
uxUMXniTfjM,Resident Evil Veronica - Announcement Trailer,Resident Evil,UCS2iGSouOopNHXFBcWtBQiA,2026-06-05T23:31:56Z,20,https://i.ytimg.com/vi/uxUMXniTfjM/default.jpg,1137555,103889,7394
2JOn2gZ_Ats,Fortnite SEASON 3 - EVERYTHING NEW!,Top5Gaming,UCYn6CZe5UGIyPe9WJb0pTrg,2026-06-06T10:48:51Z,20,https://i.ytimg.com/vi/2JOn2gZ_Ats/default.jpg,227983,7514,459
hIssjBhUk3o,"FGTeeV Among Us, But Everyone Has the WRONG Name",FGTeeV,UCC-RHF_77zQdKcA75hr5oTQ,2026-06-05T22:30:06Z,20,https://i.ytimg.com/vi/hIssjBhUk3o/default.jpg,575103,28388,6102
wX5CBSmip08,"Every Time I Crash, My Monster Truck JUMPS HIGHER in GTA 5",SpeirsTheAmazingHD,UCAbdeLiTPdjk1X2TY_ZdLDw,2026-06-06T17:17:00Z,20,https://i.ytimg.com/vi/wX5CBSmip08/default.jpg,151546,3883,129
9sv8QKCZaMM,The $50k Creator Rocket League Tourney,Joe Bart Games,UCeBPTBz1oRnsWsUBnKNNKNw,2026-06-06T15:37:26Z,20,https://i.ytimg.com/vi/9sv8QKCZaMM/default.jpg,120531,4617,364
nkxRvK2xkek,I Revealed Roblox Admins in Real Life,Silver,UCXs61Ndm1-67HwDZR70g8pQ,2026-06-06T14:30:18Z,20,https://i.ytimg.com/vi/nkxRvK2xkek/default.jpg,498045,6213,117
j6sFq3aNIYg,Saving a Minecraft Server from my Disease Mod,EightSidedSquare,UCm9WKMrkb005KoZki70X_7g,2026-06-06T03:11:01Z,20,https://i.ytimg.com/vi/j6sFq3aNIYg/default.jpg,478141,26209,1942
GH3egckNLLU,I watched the 2026 Summer Game Fest..,Asmongold TV  ,UCQeRaTukNYft1_6AZPACnog,2026-06-06T00:15:29Z,20,https://i.ytimg.com/vi/GH3egckNLLU/default.jpg,568639,18424,3398
l4CifGJnxls,We Found THE BACKROOMS in Roblox Flee The Facility!,ItsFunneh,UCUk7VggtJdo9XYTy3Z5QVAw,2026-06-06T21:00:03Z,20,https://i.ytimg.com/vi/l4CifGJnxls/default.jpg,116548,10819,1626
z217CdQftHY,GTA 5 Online - Pranking Delirious with Glitches! (Funny Moments),VanossGaming,UCKqH_9mk1waLgBiL2vT5b9g,2026-06-06T03:04:08Z,20,https://i.ytimg.com/vi/z217CdQftHY/default.jpg,439625,24202,677
wskPO1l3Law,No One Can COPY APHMAU!,Aphmau,UCzYfz8uibvnB7Yc1LjePi4g,2026-06-06T21:01:32Z,20,https://i.ytimg.com/vi/wskPO1l3Law/default.jpg,98064,4867,823
zFXs24Y9hMs,ESCAPING OUR EVIL PARENTS IN ROBLOX...,Techy Plays,UCNDzLI-hyihpAx3zKtwhGZw,2026-06-06T14:00:03Z,20,https://i.ytimg.com/vi/zFXs24Y9hMs/default.jpg,182145,3448,456
PTF87YkjSP0,ESCAPE The OCEAN Obby! (Roblox) ,Cutie The Bunny,UCAy3SbSn9988JS8KCQreF9A,2026-05-31T13:15:10Z,20,https://i.ytimg.com/vi/PTF87YkjSP0/default.jpg,248431,185,49
9HaP3YDck24,ROBLOX BE AN ADMIN!,Foltyn,UCRkuUgtDAL4XSU5jB40J_wA,2026-06-06T04:54:44Z,20,https://i.ytimg.com/vi/9HaP3YDck24/default.jpg,997403,13411,2234
s1sqCyglHco,roblox best gameplay,StanRP,UCHYA5HNaS5n4idxmP-at8nA,2026-06-06T19:35:06Z,20,https://i.ytimg.com/vi/s1sqCyglHco/default.jpg,286458,2841,1
