video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count
nJzkZMNA2Zo,Windows con NUEVA actualización Se hace MÁS RÁPIDO Y FLUIDO ¡ACTIVALA ASÍ!,Proto,UCIIHM_DjF-4kSyUifxsnkuw,2026-05-28T18:46:43Z,28,https://i.ytimg.com/vi/nJzkZMNA2Zo/default.jpg,73445,3805,339
pe_polInEQs,Modding My PS3 Was a Waste of Time! #tech #technology #shorts #pc,Salem Techsperts,UCClfFsWcT3N2I7VTXXyt84A,2026-05-24T11:45:11Z,28,https://i.ytimg.com/vi/pe_polInEQs/default.jpg,1970017,187661,1615
OfrTeNu0qek,Precise sequence of the Cosmic Gold iPhone 17 Pro Max #shorts #noads,Junão Pro Player,UCBw__Ft6UAcQ_iHEfAeCaEA,2026-05-20T15:06:36Z,22,https://i.ytimg.com/vi/OfrTeNu0qek/default.jpg,746083,31165,121
4Mbnzk1uhOw,Le Regale Un Set Up Gamer A Mi Mamá #pcgaming,El Santi PC,UC8JqDxlYSJT1Yaf41hCrX-g,2026-05-07T00:00:10Z,28,https://i.ytimg.com/vi/4Mbnzk1uhOw/default.jpg,1938050,75042,1264
uUmm30exQC8,Por qué el Formato 4:3 MURIÓ 📉 (La Excusa para que Compraras otra TV),JONN DEZZ XP,UChdPXdtVTI59BNvcR1osKSw,2026-05-31T20:37:46Z,28,https://i.ytimg.com/vi/uUmm30exQC8/default.jpg,15055,1807,127
3aFoT1P8LpM,Cambié mi setup de $20.000 por el MacBook Neo y el ecosistema más barato de Apple - y me encanta!,Victor Abarca,UCEgF6KhiOxSe-oRDUJba3Kg,2026-05-31T15:23:51Z,22,https://i.ytimg.com/vi/3aFoT1P8LpM/default.jpg,23880,1688,75
bNpmB1heEF0,"Linux is Easy, right?",Linus Tech Tips,UCXuqSBlHAE6Xw-yeJA0Tunw,2026-05-28T18:48:55Z,28,https://i.ytimg.com/vi/bNpmB1heEF0/default.jpg,845533,35638,5188
FZE3IG2oWOc,Redmi vs Infinix charging 😳,JULIUS CONCEPTS ,UCD3qZ75E-dMeF2Mhp4lHzAg,2026-05-13T08:05:14Z,22,https://i.ytimg.com/vi/FZE3IG2oWOc/default.jpg,4667025,48932,382
fzJ4YYTYC9M,El iPhone 18 PRO mejora lo MÁS IMPORTANTE,TecnoPhonePro,UC5CcZ8wKhHNFk5UPlUtXNuQ,2026-05-25T17:42:51Z,28,https://i.ytimg.com/vi/fzJ4YYTYC9M/default.jpg,159733,14530,364
cRZvhh0-b04,Estás en venta: la infraestructura que ningún partido quiso auditar y controla lo que ves,Marc Vidal,UCKC77AR_zWXRTE2GOD_2Uag,2026-05-26T18:00:22Z,25,https://i.ytimg.com/vi/cRZvhh0-b04/default.jpg,110071,5363,239
v0Cwlta2Rd0,"Introducing the ""VitaWear SmartBand,"" a next-generation wearablegadget#shortsfeed#trending",Mr Been 10K,UC-e6qB1SIRN2Xd7DlcXp36Q,2026-05-25T16:14:53Z,22,https://i.ytimg.com/vi/v0Cwlta2Rd0/default.jpg,726577,,139
8Ez7gmrRIiA,¡Este único error puede arruinar tu televisor nuevo! 😨,FinyCODE,UC41C8oJotXcmaCLEDMmsBPw,2026-05-08T00:00:16Z,24,https://i.ytimg.com/vi/8Ez7gmrRIiA/default.jpg,1105209,107097,86
ov89T3IA_dg,¿Cómo funciona LoRa REALMENTE? (¡No atraviesa paredes!) 📡❌🏢 #electronica #red,Sfv Mercadeo,UCnIdwwJkIouXNN9G2G-bEgg,2026-05-21T14:55:28Z,28,https://i.ytimg.com/vi/ov89T3IA_dg/default.jpg,116695,11830,198
dNYXt0Pdwgs,iPhone 17 Pro Max - 8 Meses Después (sin funda),Tech Santos,UCQBiLYv2BjHwwG3gc-n7JVA,2026-05-28T00:25:50Z,28,https://i.ytimg.com/vi/dNYXt0Pdwgs/default.jpg,90613,2854,241
zKCQxWZECgA,Tengo tablet😱 #keylizz #unboxing #tablet #haul #tecnología #temu #peru #lima #limaperu #organizar,KeyLizz,UCEjhqa7NGmsnWIMuatSZXzQ,2026-05-21T22:10:13Z,22,https://i.ytimg.com/vi/zKCQxWZECgA/default.jpg,354591,37909,677
cqOHd6ex8-0,Este cliente trajo su play 4 y su switch como parte de pago por un mando de Play 5?… #shortvideo,Teddy's Game oficial,UC7qMAiDj7pV6xLgiV6uy4ng,2026-05-19T21:42:19Z,20,https://i.ytimg.com/vi/cqOHd6ex8-0/default.jpg,171634,8098,144
2oJBjOoOBCw,Getting Ready for the World Cup with a 100” TV ⚽📺 #Hisense,Simply AV,UC8BSZ6Kq4LIN9RZQ7QM-8tQ,2026-05-11T21:11:15Z,26,https://i.ytimg.com/vi/2oJBjOoOBCw/default.jpg,686463,15595,310
Vq8rlAqcVLg,Cómo Curvar tu Monitor.,Valentín Melograna,UCjDOhgR1a2bRgsUyprY37aw,2026-04-25T22:36:00Z,22,https://i.ytimg.com/vi/Vq8rlAqcVLg/default.jpg,2399495,94042,403
