video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count,tags,duration
NNbBP60FaM0,Iphone 18 #shorts,Amandinha,UC0cx38VIfmVZva-rYnMmevQ,2026-05-31T22:30:29Z,20,https://i.ytimg.com/vi/NNbBP60FaM0/default.jpg,874255,38163,513,[],PT13S
co18MZypHm0,jbl go4 pvc pipe drop jumping,Dipesh Chauhan,UCY6gTaTARkQG6abRc7uU2oA,2026-05-26T02:56:05Z,22,https://i.ytimg.com/vi/co18MZypHm0/default.jpg,28858026,269645,168,[],PT26S
-zl6OiLpVe8,☠️⚡ IPHONE 17 PRO MAX VS SAMSUNG S25 ULTRA SPEED TEST!!,Tech_xnr,UCMvBOOq1ozgb6u-MHIW5Qhg,2026-05-27T16:10:02Z,28,https://i.ytimg.com/vi/-zl6OiLpVe8/default.jpg,14013286,,1239,[],PT10S
0A095DdBrKo,COMO MELHORAR SEU DESPERTADOR?,Naggi,UCNHyewBZiVv1uXAfJ1PByoA,2026-05-28T14:30:29Z,22,https://i.ytimg.com/vi/0A095DdBrKo/default.jpg,893726,52281,628,[],PT21S
ULLeQZPCy3g,Facilidade para desbloquear o Nintendo switch,Luidy,UCVX__Z0hSrmCxQhSqTnGSmw,2026-05-27T22:05:19Z,27,https://i.ytimg.com/vi/ULLeQZPCy3g/default.jpg,1023962,86135,514,"['Hardware', 'console', 'pc gamer', 'nintendo switch', 'switch desbloqueado', 'switch lite', 'switch 2', 'switch oled', 'luidy tech']",PT1M9S
6de0oKbha5A,Troca somente do vidro iPhone 17 Pro Max!  Quanto você acha que eu cobrei por esse serviço?,João Longo,UCyT0nFJbsXtiPXiOypQqHZw,2026-05-24T16:00:50Z,22,https://i.ytimg.com/vi/6de0oKbha5A/default.jpg,1412150,100788,682,[],PT2M36S
f2W2m6K5LS0,Como transformar um SSD em um BURACO NEGRO!,Ciência Todo Dia,UCn9Erjy00mpnWeLnRqhsA1g,2026-05-29T16:57:05Z,28,https://i.ytimg.com/vi/f2W2m6K5LS0/default.jpg,508829,86731,730,"['pedro loos', 'pedro loss', 'ciência todo dia', 'ciencia todo dia', 'ciência', 'ciencia', 'voce sabia', 'curiosidades', 'como transformar um sdd em um buraco negro', 'ssd', 'buraco negro', 'como um buraco negro funciona', 'capacidade de ssd', 'buraco negro interestelar', 'ssd buraco negro', 'pedro loos ssd', 'pedro loos buraco negro', 'espaço', 'ssd externo', 'o que são buracos negros', 'buracos negros ciencia todo dia', 'buracos negros supermassivos', 'ssd nvme m.2', 'tecnologia']",PT1M44S
MG9wzi8r2Z4,comprou smartwatch falso e falou que era original #shorts #short #ytshorts #apple #iphone #ios #fyp,Pedro Ribeiro,UClhTWJnI-Y5stewJFYDoLEw,2026-06-01T21:04:21Z,22,https://i.ytimg.com/vi/MG9wzi8r2Z4/default.jpg,183475,17077,158,[],PT1M2S
tW7MJqlr2Ko,Será que um cartão de 2 Terabytes da shopee funciona?,Mike Fantástico,UC9QOTx47irc-ujSxRZCA6Bg,2026-06-01T15:00:06Z,22,https://i.ytimg.com/vi/tW7MJqlr2Ko/default.jpg,172490,13522,84,[],PT27S
-xbYXl621ec,ESSE É O NOVO CELULAR DA VIRGÍNIA! #shorts,Léo Crunfli,UCaK-V1eWvTTg866qloota3A,2026-05-25T15:03:37Z,22,https://i.ytimg.com/vi/-xbYXl621ec/default.jpg,943883,45060,672,[],PT45S
