video_id,title,channel_title,channel_id,published_at,category_id,thumbnail,view_count,like_count,comment_count,tags,duration
oH2jz7KV0zs,AQUELES VÍDEOS DA NOVELA DAS FRUTAS DE IA - Pt 14,Rick Santina,UC3jZA6_SquyzGdw7nyt6SEg,2026-05-28T23:05:51Z,24,https://i.ytimg.com/vi/oH2jz7KV0zs/default.jpg,9761625,287079,500,"['Ricksantina', 'Santina', 'Família Santina', 'Comédia', 'TikTok', 'Reels', 'Shorts', 'Novela da frutas', 'Frutas de ia', 'Abacatudo', 'Moranguete']",PT35S
-nh6YEdhBsA,CELULARES em 2000 vs 2050,Jooj Natu,UCVVksn-TMGmkwvirl_neMWw,2026-05-30T21:34:40Z,20,https://i.ytimg.com/vi/-nh6YEdhBsA/default.jpg,3804191,202397,956,[],PT24S
CuQ-BU61TKo,QUANDO O TOQUE PERFEITO TE SALVA,O Victor Magalhães,UCGPCO1PVeWZ-egT6F2wKnaw,2026-05-27T23:00:28Z,24,https://i.ytimg.com/vi/CuQ-BU61TKo/default.jpg,8606187,374390,2182,"['shorts', 'shortsbrasil', 'comédia', 'anime', 'humor']",PT54S
7hHx4Lg3iKE,FIGURINHAS BARATAS 😂😂,Tales Bento,UCf_A3IYXSO1f_S6qQk9vWzA,2026-05-29T22:45:10Z,23,https://i.ytimg.com/vi/7hHx4Lg3iKE/default.jpg,3766759,73297,124,[],PT42S
frevqOZcTOc,como saber se SOU EU na rua?,Giuliana Mafra,UCcO3pf47GO1rxL4tlWEs5Ow,2026-05-27T21:00:05Z,24,https://i.ytimg.com/vi/frevqOZcTOc/default.jpg,5628531,291722,2497,[],PT15S
XmaQkjaGFE0,A LEGEND,Lucas Guedes,UCM1I3ojRuiCptT3y6ghs_2A,2026-05-29T15:38:22Z,24,https://i.ytimg.com/vi/XmaQkjaGFE0/default.jpg,3604838,159162,172,"['aYjyXdc6', 'Lucas Guedes', 'Lucas Guedes Tiktoker', 'lucas guedes tiktok', 'shorts', 'short videos', '#shorts', 'luccas guedes', 'luccas', 'ideias incríveis', 'álbum da Copa', 'Copa 2026', 'álbum de figurinhas', 'figurinhas da Copa', 'abrindo pacotinhos', 'pacotinhos da Copa', 'completando álbum', 'figurinha rara', 'Copa do Mundo 2026', 'figurinhas no vaso', 'shorts engraçado', 'pacotinho de figurinha', 'cola de figurinhas', 'Copa do Mundo', 'vídeos curtos', 'vídeos curtos engraçados', 'figurinhas na privada']",PT1M
PzJkpno-pVg,Bonecos na guerra 😅,Universo Labz,UCvyuoJQWxHWbswTSGxGA71w,2026-05-30T22:00:24Z,24,https://i.ytimg.com/vi/PzJkpno-pVg/default.jpg,2024879,73765,56,[],PT29S
pvDvpZbspo4,Ninguém esconde nada do Sr. White 🎬 Malcolm,Aquela Cena,UC-RKEkB-zpry9anJRc-mF7Q,2026-05-29T21:15:21Z,1,https://i.ytimg.com/vi/pvDvpZbspo4/default.jpg,2917429,170331,327,[],PT55S
nXhd0cI9Z_0,vovo salva o dia #shortsfeed #filmsclips,SVO_FILME,UCIKeQ9LkOOrKnN_rebGHygg,2026-05-29T21:47:56Z,20,https://i.ytimg.com/vi/nXhd0cI9Z_0/default.jpg,3515915,162768,699,[],PT1M
nX1zGM6m3Q8,Quando o PAI desconfia de algo ERRADO… 😳💀,Diogo Tiba,UCbTt-KwiEeuefp_HIYwEbnw,2026-05-30T23:54:08Z,22,https://i.ytimg.com/vi/nX1zGM6m3Q8/default.jpg,2127185,80210,86,[],PT1M7S
enyYHLcmM6w,QUEM TEM A MÃE ASSIM?,Miguel Salles MS,UCftQKHePl40RopoZr0i7Jkg,2026-05-31T16:32:53Z,22,https://i.ytimg.com/vi/enyYHLcmM6w/default.jpg,1471106,24905,48,[],PT16S
rzsImOvqv0c,Camisa De Tinta,Gabriel Janiques,UCGtzDXfzkOoGeezW33SeKbg,2026-05-22T00:15:10Z,17,https://i.ytimg.com/vi/rzsImOvqv0c/default.jpg,158453716,2663791,4694,[],PT56S
ab8O61tpESc,A CASA DESAPARECEU 😂 #humor #comedy,Carlos Alves ,UCiABxxcQaMxgSO6J90u5jjw,2026-05-26T18:29:49Z,23,https://i.ytimg.com/vi/ab8O61tpESc/default.jpg,3274867,60747,126,[],PT22S
h34NWbjj3xU,A quem ele puxou a malandragem?😂❤️,Victor Pac,UCUteKlvz5S0QiWQ2El0Y1qg,2026-06-01T21:00:21Z,22,https://i.ytimg.com/vi/h34NWbjj3xU/default.jpg,1132446,53819,103,[],PT1M11S
